@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
6669,'2016/09/28 23:46:36:694',29,0.167401,0.134731,0.327017,-0.206283,0.113267,0.111119,0.2705,0.211546,0.172931,0.351192,0.39166,0.238387,0.23837,1
6670,'2016/09/28 23:46:36:711',29,0.052717,0.056018,0.23431,-0.354125,-0.053062,0.125907,0.42675,0.112565,0.067066,0.242719,0.110027,0.145056,0.365187,1
6671,'2016/09/28 23:46:36:728',29,0.075189,0.128257,0.229347,-0.355773,0.076416,0.131079,0.296291,0.143627,0.103058,0.366095,0.340895,0.249346,0.391542,1
6672,'2016/09/28 23:46:36:745',29,0.429888,-0.09908,0.067451,-0.287558,0.166208,0.163534,0.214647,0.343129,0.19676,0.292246,0.291772,0.139917,0.313641,1
6673,'2016/09/28 23:46:36:761',29,0.371607,0.008023,0.125237,-0.390899,0.205383,-0.017933,0.178522,0.263471,0.15942,0.338133,0.345759,0.254832,0.281266,1
6674,'2016/09/28 23:46:36:797',29,0.321817,-0.434672,0.472433,-0.233964,0.251015,0.072922,0.473987,0.334219,0.012243,0.223785,0.350526,0.366548,0.384264,1
6675,'2016/09/28 23:46:36:817',29,0.748927,-0.204864,0.28627,-0.424345,0.138944,0.12423,0.150936,0.192063,0.06054,0.386268,0.425025,0.300912,0.26871,1
6676,'2016/09/28 23:46:36:827',29,0.405937,-0.489445,0.185944,0.090157,0.34015,0.348479,0.606094,0.40608,0.10116,0.281923,0.289828,0.150834,0.319719,1
6677,'2016/09/28 23:46:36:844',29,0.512909,-0.374478,0.317752,0.145166,0.489314,0.146835,0.24268,0.17387,-0.093951,0.3587,0.417701,0.193517,0.332563,1
6678,'2016/09/28 23:46:36:861',29,0.885747,-0.336889,-0.031085,-0.04399,0.21408,0.170546,0.304827,0.168483,0.206442,0.529177,0.588522,0.329749,0.163198,1
6679,'2016/09/28 23:46:36:878',29,0.857836,0.025932,0.240277,0.18216,0.225861,0.18595,0.23736,0.221288,0.066519,0.299348,0.455483,0.246831,0.253928,1
6680,'2016/09/28 23:46:36:895',29,0.851984,0.094376,0.088803,0.081416,0.2263,0.244865,0.066767,0.385817,0.037649,0.250769,0.354605,0.267776,0.322396,1
6681,'2016/09/28 23:46:36:912',29,0.879815,0.172673,0.085921,0.135703,0.267199,0.177884,0.395579,0.299881,0.119651,0.255033,0.339045,0.247982,0.263086,1
